rank,world_id,avg_time,avg_nav_metric,avg_optimal_time,avg_path_length,success_rate,num_episodes,True_count,True_percentage,False_count,False_percentage
97,280,33.4327,0.1615133595881074,5.416117907909559,15.813963825464691,0,10,7.0,70.0,3.0,30.0
98,177,33.319900000000004,0.2246155864737429,6.5684287081651975,18.045849390512167,0,10,8.0,80.0,2.0,20.0
99,268,32.563300000000005,0.19897147640646584,5.346420016137622,15.650660849690587,0,10,10.0,100.0,,
100,123,32.47269999999999,0.17833033693845265,5.856153598776805,16.703721548907545,0,10,8.0,80.0,2.0,20.0
101,188,32.342999999999996,0.1765436191951678,5.586100105063303,15.961319571133178,0,10,7.0,70.0,3.0,30.0
102,264,32.13250000000001,0.17394214919148443,5.24467565317286,15.381336211152268,0,10,8.0,80.0,2.0,20.0
103,287,32.040800000000004,0.18561912120855925,6.039439498839088,16.86799835868475,0,10,8.0,80.0,2.0,20.0
104,138,31.8956,0.23344587072589135,6.217175467787185,17.32633584038092,0,10,10.0,100.0,,
105,134,31.810399999999998,0.2220452907186567,6.56533406802487,17.806170954902704,0,10,8.0,80.0,2.0,20.0
106,233,31.600300000000004,0.19988693869544266,5.618836692711528,16.23639976856798,0,10,6.0,60.0,4.0,40.0
107,292,31.503400000000006,0.2367053237043819,6.813132884959456,18.379438416847798,0,10,8.0,80.0,2.0,20.0
108,237,31.3548,0.17860568036515473,5.736532850023671,16.295939099252422,0,10,7.0,70.0,3.0,30.0
109,297,31.212799999999994,0.17663838346197702,5.327776128233415,15.653057130870604,0,10,10.0,100.0,,
110,172,31.144299999999998,0.21047475210264005,5.739872243799454,16.302617886803993,0,10,9.0,90.0,1.0,10.0
111,76,31.095,0.22477089255616262,5.63543866066499,16.268382195733757,0,10,10.0,100.0,,
112,238,31.080600000000004,0.20680830090267355,6.034078710210085,17.025978237835517,0,10,8.0,80.0,2.0,20.0
113,72,31.0394,0.2236728484655471,6.58963928436282,18.096283368757145,0,10,8.0,80.0,2.0,20.0
114,152,30.936500000000006,0.2276532039977181,5.6118668441306605,16.115718593067868,0,10,7.0,70.0,3.0,30.0
115,236,30.760999999999996,0.21517917958763982,5.345160631900868,15.622338293972694,0,10,9.0,90.0,1.0,10.0
116,219,30.630100000000006,0.19701210466860358,5.6025357406426455,16.198918646192674,0,10,8.0,80.0,2.0,20.0
117,155,30.579500000000003,0.27698652775575383,5.388939924921212,15.660883804919886,0,10,10.0,100.0,,
118,151,30.5317,0.21576220194660262,6.4585735593126445,17.885672236834512,0,10,8.0,80.0,2.0,20.0
119,84,30.429899999999996,0.17249714671259064,5.36262360834106,15.589368726898801,0,10,8.0,80.0,2.0,20.0
120,247,30.350399999999997,0.23037340475321097,5.541841578786928,16.065411167219427,0,10,10.0,100.0,,
121,187,30.3171,0.2241870300424244,5.712215657468731,16.409783318014366,0,10,9.0,90.0,1.0,10.0
122,107,29.88270000000001,0.19768322721836107,5.759489034066533,16.50433007120996,0,10,8.0,80.0,2.0,20.0
123,269,29.605199999999996,0.20750842659078658,5.90700726945353,16.787325333157753,0,10,10.0,100.0,,
124,176,29.007000000000005,0.21013518415124827,5.707774238470273,16.091051295793505,0,10,9.0,90.0,1.0,10.0
125,290,28.903299999999994,0.21816889728946628,5.232251246219394,15.462007366842565,0,10,9.0,90.0,1.0,10.0
126,189,28.776699999999998,0.21366296967315881,5.503822179101877,15.916636332385531,0,10,7.0,70.0,3.0,30.0
127,135,28.7334,0.2477373822691516,6.0455551782972945,16.91398375579967,0,10,8.0,80.0,2.0,20.0
128,170,28.6863,0.22141532041366627,5.153241043575436,15.303986961554648,0,10,7.0,70.0,3.0,30.0
129,130,28.615,0.21960661166218703,5.403884097326943,15.801615359561264,0,10,10.0,100.0,,
130,283,28.279000000000003,0.20786035918591228,5.549796921845447,16.051505390150165,0,10,8.0,80.0,2.0,20.0
131,90,28.194899999999997,0.2635954053002857,6.456811573212408,17.830627946456325,0,10,9.0,90.0,1.0,10.0
