rank,world_id,avg_time,avg_nav_metric,avg_optimal_time,avg_path_length,success_rate,num_episodes,running_count,running_percentage,timeout_count,timeout_percentage,success_count,success_percentage
54,135,47.7078,0.13058387262250787,8.456991877899835,12.091110356594587,30.0,20,14.0,70.0,,,6.0,30.0
55,107,47.4308,0.14883976254665443,8.25216503560498,11.518978068133066,40.0,20,12.0,60.0,,,8.0,40.0
56,196,47.404700000000005,0.1392904292864907,8.395202655329973,11.832584493244605,30.0,20,11.0,55.00000000000001,3.0,15.0,6.0,30.0
57,245,47.0181,0.13944254180275395,8.203446936428486,11.454982326397696,30.0,20,9.0,45.0,5.0,25.0,6.0,30.0
58,202,46.8731,0.15272504716423435,8.223102409551386,11.477679700893551,40.0,20,11.0,55.00000000000001,1.0,5.0,8.0,40.0
59,77,45.8399,0.1446287181596691,7.858846823156119,10.894820247107159,35.0,20,12.0,60.0,1.0,5.0,7.0,35.0
60,265,45.7829,0.12945915235982686,8.367950840432565,11.852897725787667,45.0,20,9.0,45.0,2.0,10.0,9.0,45.0
61,97,45.2668,0.15123930251867293,8.744001349522417,12.579010724863057,35.0,20,11.0,55.00000000000001,2.0,10.0,7.0,35.0
62,219,44.563900000000004,0.16094384851834476,8.099459323096337,11.205071481285293,45.0,20,10.0,50.0,1.0,5.0,9.0,45.0
63,192,43.5181,0.15574468558456475,7.872620918957527,10.746515454770133,40.0,20,9.0,45.0,3.0,15.0,8.0,40.0
64,49,42.071,0.18798956083357882,9.849313256116805,14.806641607427062,40.0,20,11.0,55.00000000000001,1.0,5.0,8.0,40.0
65,30,41.7713,0.17178440944331777,8.334769441907351,11.701013765605484,40.0,20,11.0,55.00000000000001,1.0,5.0,8.0,40.0
66,288,41.289,0.16783109385144984,7.676966908159272,10.41492962775442,45.0,20,11.0,55.00000000000001,,,9.0,45.0
67,295,40.623000000000005,0.17728916723675933,8.500779295370203,12.248385943811522,50.0,20,8.0,40.0,2.0,10.0,10.0,50.0
68,204,40.1254,0.197015504904562,8.448704095912515,11.89745916027255,45.0,20,10.0,50.0,1.0,5.0,9.0,45.0
69,266,39.95140000000001,0.18588271250289706,8.268726393333566,11.822218560176301,45.0,20,10.0,50.0,1.0,5.0,9.0,45.0
70,104,39.745400000000004,0.2,9.384586335894591,13.787444662143608,40.0,20,10.0,50.0,2.0,10.0,8.0,40.0
71,85,39.47119693756103,0.2023824158494152,8.49776588751143,12.206412414016288,45.0,20,11.0,55.00000000000001,,,9.0,45.0
72,64,38.5201,0.20335336190380895,8.299052786270355,11.681100772509208,45.0,20,9.0,45.0,2.0,10.0,9.0,45.0
73,283,38.086200000000005,0.20619985135578772,8.025752695075083,11.099593843690892,45.0,20,7.0,35.0,4.0,20.0,9.0,45.0
